,length,order,sorting_method,comparisons,replacements,milliseconds
179,10000,reverse,quicksort3,50004900,14850,3953
180,10000,reverse,quicksort5,50004990,10035,3719
181,10000,reverse,mergesort,10019,140000,29
182,10000,reverse,natural_mergesort,9999,10000,3
183,2000,reverse,quicksort2,2000950,3175,157
184,2000,reverse,quicksort3,2000900,6850,156
185,2000,reverse,quicksort5,2000990,2035,143
186,2000,reverse,quicksort1,2000999,1999,148
187,2000,reverse,quicksort4,1000998,2998,73
188,2000,reverse,mergesort,2012,22000,4
189,2000,reverse,natural_mergesort,1999,2000,1
190,250,reverse,quicksort2,31325,1425,2
191,250,reverse,quicksort3,31275,5100,2
192,250,reverse,quicksort5,31365,285,2
193,250,reverse,quicksort1,31374,249,2
194,250,reverse,quicksort4,15748,373,1
195,250,reverse,mergesort,259,2000,0
196,250,reverse,natural_mergesort,249,250,0
197,50,reverse,quicksort2,1225,1225,0
198,50,reverse,quicksort3,1225,1225,0
199,50,reverse,quicksort5,1265,85,1
200,50,reverse,quicksort1,1274,49,1
201,50,reverse,quicksort4,648,73,0
202,50,reverse,mergesort,58,300,0
203,50,reverse,natural_mergesort,49,50,0
204,500,reverse,quicksort2,125200,1675,9
205,500,reverse,quicksort3,125150,5350,9
206,500,reverse,quicksort5,125240,535,9
207,500,reverse,quicksort1,125249,499,10
208,500,reverse,quicksort4,62748,748,5
209,500,reverse,mergesort,510,4500,1
210,500,reverse,natural_mergesort,499,500,1
211,5000,reverse,quicksort2,12502450,6175,951
212,5000,reverse,quicksort3,12502400,9850,940
213,5000,reverse,quicksort5,12502490,5035,904
214,5000,reverse,mergesort,5018,65000,14
215,5000,reverse,natural_mergesort,4999,5000,2
